0.007080|0.012057,0.007080|0.012057,0.007080|0.012058,0.007080|0.012058,0.007080|0.012058,0.007080|0.012058,0.007080|0.012058,0.007080|0.012058,0.007080|0.012058,0.007080|0.012056,0.007080|0.012055,0.007080|0.012053,0.007080|0.012049,0.007079|0.012044,0.007078|0.012035,0.007077|0.012020,0.007075|0.011982,-1.000000|-1.000000,0.007075|0.011907,0.007075|0.011905,0.007075|0.011905,0.007075|0.011905,0.007075|0.011905,0.007075|0.011905,0.007075|0.011905,0.007075|0.011905,0.007075|0.011906,0.007075|0.011906,0.007075|0.011906,0.007075|0.011907,0.007075|0.011907,0.007075|0.011908,0.007075|0.011909,0.007075|0.011911,
0.007080|0.012058,0.007080|0.012058,0.007080|0.012058,0.007080|0.012058,0.007080|0.012058,0.007080|0.012058,0.007080|0.012058,0.007080|0.012057,0.007080|0.012056,0.007080|0.012054,0.007080|0.012051,0.007080|0.012048,0.007079|0.012043,0.007078|0.012033,0.007077|0.012020,0.007076|0.011999,0.007075|0.011970,-1.000000|-1.000000,0.007075|0.011917,0.007075|0.011910,0.007075|0.011907,0.007075|0.011907,0.007075|0.011907,0.007075|0.011906,0.007075|0.011907,0.007075|0.011907,0.007075|0.011907,0.007075|0.011907,0.007075|0.011908,0.007075|0.011908,0.007075|0.011909,0.007075|0.011910,0.007075|0.011911,0.007075|0.011912,
0.007080|0.012058,0.007080|0.012058,0.007080|0.012058,0.007080|0.012058,0.007080|0.012058,0.007080|0.012057,0.007080|0.012057,0.007080|0.012055,0.007080|0.012053,0.007080|0.012051,0.007079|0.012047,0.007079|0.012042,0.007078|0.012034,0.007078|0.012026,0.007077|0.012009,0.007076|0.011991,0.007075|0.011968,-1.000000|-1.000000,0.007075|0.011929,0.007075|0.011919,0.007075|0.011913,0.007075|0.011912,0.007075|0.011909,0.007075|0.011909,0.007075|0.011909,0.007075|0.011909,0.007075|0.011909,0.007075|0.011909,0.007075|0.011910,0.007075|0.011910,0.007075|0.011911,0.007075|0.011913,0.007075|0.011914,0.007075|0.011915,
0.007080|0.012058,0.007080|0.012058,0.007080|0.012058,0.007080|0.012058,0.007080|0.012056,0.007080|0.012056,0.007080|0.012055,0.007080|0.012053,0.007080|0.012051,0.007079|0.012047,0.007079|0.012043,0.007078|0.012035,0.007078|0.012030,0.007077|0.012019,0.007076|0.012005,0.007076|0.011988,0.007075|0.011970,-1.000000|-1.000000,0.007075|0.011937,0.007075|0.011927,0.007075|0.011920,0.007075|0.011917,0.007075|0.011915,0.007075|0.011913,0.007075|0.011912,0.007075|0.011913,0.007075|0.011912,0.007075|0.011912,0.007075|0.011912,0.007075|0.011913,0.007075|0.011914,0.007075|0.011914,0.007075|0.011915,0.007075|0.011917,
0.007080|0.012058,0.007080|0.012058,0.007080|0.012057,0.007080|0.012057,0.007080|0.012056,0.007080|0.012055,0.007080|0.012053,0.007080|0.012051,0.007079|0.012047,0.007079|0.012043,0.007079|0.012039,0.007078|0.012032,0.007078|0.012025,0.007077|0.012014,0.007076|0.012002,0.007076|0.011988,0.007075|0.011972,-1.000000|-1.000000,0.007075|0.011945,0.007075|0.011935,0.007075|0.011928,0.007075|0.011925,0.007075|0.011920,0.007075|0.011918,0.007075|0.011916,0.007075|0.011916,0.007075|0.011916,0.007075|0.011915,0.007075|0.011915,0.007075|0.011916,0.007075|0.011916,0.007075|0.011917,0.007075|0.011918,0.007075|0.011919,
0.007080|0.012057,0.007080|0.012057,0.007080|0.012057,0.007080|0.012056,0.007080|0.012055,0.007080|0.012053,0.007080|0.012051,0.007080|0.012049,0.007079|0.012046,0.007079|0.012041,0.007078|0.012036,0.007078|0.012029,0.007077|0.012021,0.007077|0.012011,0.007076|0.012001,0.007076|0.011987,0.007075|0.011975,-1.000000|-1.000000,0.007075|0.011951,0.007075|0.011944,0.007075|0.011934,0.007075|0.011932,0.007075|0.011925,0.007075|0.011925,0.007075|0.011921,0.007075|0.011921,0.007075|0.011920,0.007075|0.011919,0.007075|0.011920,0.007075|0.011919,0.007075|0.011919,0.007075|0.011920,0.007075|0.011920,0.007075|0.011921,
0.007080|0.012057,0.007080|0.012056,0.007080|0.012055,0.007080|0.012054,0.007080|0.012053,0.007080|0.012052,0.007080|0.012050,0.007079|0.012046,0.007079|0.012043,0.007079|0.012039,0.007078|0.012034,0.007078|0.012027,0.007077|0.012019,0.007077|0.012010,0.007076|0.012000,0.007076|0.011989,0.007075|0.011977,-1.000000|-1.000000,0.007075|0.011956,0.007075|0.011947,0.007075|0.011941,0.007075|0.011935,0.007075|0.011932,0.007075|0.011928,0.007075|0.011926,0.007075|0.011925,0.007075|0.011924,0.007075|0.011923,0.007075|0.011922,0.007075|0.011922,0.007075|0.011922,0.007075|0.011923,0.007075|0.011923,0.007075|0.011923,
0.007080|0.012056,0.007080|0.012056,0.007080|0.012055,0.007080|0.012053,0.007080|0.012052,0.007080|0.012050,0.007079|0.012048,0.007079|0.012045,0.007079|0.012041,0.007079|0.012037,0.007078|0.012031,0.007078|0.012025,0.007077|0.012018,0.007077|0.012009,0.007076|0.012000,0.007076|0.011990,0.007075|0.011980,-1.000000|-1.000000,0.007075|0.011963,0.007075|0.011953,0.007075|0.011947,0.007075|0.011942,0.007075|0.011938,0.007075|0.011934,0.007075|0.011931,0.007075|0.011929,0.007075|0.011928,0.007075|0.011927,0.007075|0.011926,0.007075|0.011928,0.007075|0.011925,0.007075|0.011925,0.007075|0.011925,0.007075|0.011926,
0.007080|0.012056,0.007080|0.012055,0.007080|0.012053,0.007080|0.012052,0.007080|0.012051,0.007080|0.012049,0.007079|0.012046,0.007079|0.012043,0.007079|0.012039,0.007078|0.012035,0.007078|0.012030,0.007078|0.012024,0.007077|0.012017,0.007077|0.012009,0.007076|0.012001,0.007076|0.011992,0.007075|0.011983,-1.000000|-1.000000,0.007075|0.011966,0.007075|0.011959,0.007075|0.011954,0.007075|0.011947,0.007075|0.011942,0.007075|0.011939,0.007075|0.011936,0.007075|0.011934,0.007075|0.011932,0.007075|0.011931,0.007075|0.011929,0.007075|0.011929,0.007075|0.011929,0.007075|0.011928,0.007075|0.011928,0.007075|0.011928,
0.007080|0.012055,0.007080|0.012054,0.007080|0.012053,0.007080|0.012051,0.007080|0.012050,0.007079|0.012047,0.007079|0.012045,0.007079|0.012042,0.007079|0.012038,0.007078|0.012034,0.007078|0.012029,0.007078|0.012023,0.007077|0.012017,0.007077|0.012010,0.007076|0.012002,0.007076|0.011994,0.007076|0.011986,-1.000000|-1.000000,0.007075|0.011970,0.007075|0.011964,0.007075|0.011957,0.007075|0.011953,0.007075|0.011947,0.007075|0.011945,0.007075|0.011940,0.007075|0.011938,0.007075|0.011936,0.007075|0.011934,0.007075|0.011934,0.007075|0.011933,0.007075|0.011932,0.007075|0.011931,0.007075|0.011932,0.007075|0.011931,
0.007080|0.012054,0.007080|0.012053,0.007080|0.012052,0.007080|0.012050,0.007080|0.012049,0.007079|0.012047,0.007079|0.012044,0.007079|0.012041,0.007079|0.012037,0.007078|0.012033,0.007078|0.012029,0.007078|0.012023,0.007077|0.012017,0.007077|0.012011,0.007076|0.012004,0.007076|0.011996,0.007076|0.011988,-1.000000|-1.000000,0.007075|0.011974,0.007075|0.011967,0.007075|0.011961,0.007075|0.011956,0.007075|0.011952,0.007075|0.011948,0.007075|0.011944,0.007075|0.011942,0.007075|0.011940,0.007075|0.011939,0.007075|0.011937,0.007075|0.011936,0.007075|0.011935,0.007075|0.011934,0.007075|0.011933,0.007075|0.011933,
0.007080|0.012054,0.007080|0.012053,0.007080|0.012051,0.007080|0.012050,0.007079|0.012048,0.007079|0.012046,0.007079|0.012043,0.007079|0.012040,0.007079|0.012036,0.007078|0.012033,0.007078|0.012028,0.007078|0.012023,0.007077|0.012018,0.007077|0.012012,0.007076|0.012005,0.007076|0.011999,0.007076|0.011992,-1.000000|-1.000000,0.007075|0.011977,0.007075|0.011973,0.007075|0.011965,0.007075|0.011960,0.007075|0.011956,0.007075|0.011952,0.007075|0.011948,0.007075|0.011946,0.007075|0.011943,0.007075|0.011941,0.007075|0.011940,0.007075|0.011939,0.007075|0.011938,0.007075|0.011937,0.007075|0.011936,0.007075|0.011936,
0.007080|0.012053,0.007080|0.012052,0.007080|0.012051,0.007080|0.012049,0.007079|0.012047,0.007079|0.012045,0.007079|0.012042,0.007079|0.012039,0.007078|0.012036,0.007078|0.012033,0.007078|0.012028,0.007078|0.012024,0.007077|0.012019,0.007077|0.012013,0.007077|0.012008,0.007076|0.012001,0.007076|0.011994,-1.000000|-1.000000,0.007075|0.011981,0.007075|0.011974,0.007075|0.011969,0.007075|0.011963,0.007075|0.011959,0.007075|0.011955,0.007075|0.011952,0.007075|0.011949,0.007075|0.011947,0.007075|0.011945,0.007075|0.011943,0.007075|0.011943,0.007075|0.011941,0.007075|0.011940,0.007075|0.011939,0.007075|0.011938,
0.007080|0.012055,0.007080|0.012054,0.007080|0.012050,0.007080|0.012048,0.007079|0.012046,0.007079|0.012044,0.007079|0.012042,0.007079|0.012039,0.007078|0.012036,0.007078|0.012033,0.007078|0.012029,0.007078|0.012025,0.007077|0.012020,0.007077|0.012015,0.007077|0.012010,0.007076|0.012004,0.007076|0.011997,-1.000000|-1.000000,0.007075|0.011984,0.007075|0.011977,0.007075|0.011972,0.007075|0.011967,0.007075|0.011962,0.007075|0.011959,0.007075|0.011955,0.007075|0.011953,0.007075|0.011950,0.007075|0.011948,0.007075|0.011947,0.007075|0.011945,0.007075|0.011944,0.007075|0.011943,0.007075|0.011942,0.007075|0.011941,
0.007080|0.012055,0.007080|0.012054,0.007080|0.012049,0.007079|0.012048,0.007079|0.012046,0.007079|0.012044,0.007079|0.012041,0.007079|0.012039,0.007078|0.012036,0.007078|0.012033,0.007078|0.012029,0.007078|0.012026,0.007077|0.012022,0.007077|0.012017,0.007077|0.012012,0.007077|0.012007,0.007076|0.012002,-1.000000|-1.000000,0.007076|0.011986,0.007075|0.011980,0.007075|0.011974,0.007075|0.011969,0.007075|0.011965,0.007075|0.011961,0.007075|0.011958,0.007075|0.011955,0.007075|0.011953,0.007075|0.011952,0.007075|0.011949,0.007075|0.011948,0.007075|0.011946,0.007075|0.011946,0.007075|0.011944,0.007075|0.011949,
0.007080|0.012055,0.007080|0.012050,0.007080|0.012049,0.007079|0.012047,0.007080|0.012049,0.007079|0.012043,0.007079|0.012041,0.007079|0.012039,0.007078|0.012036,0.007078|0.012033,0.007078|0.012030,0.007078|0.012027,0.007078|0.012023,0.007077|0.012020,0.007077|0.012015,0.007077|0.012010,0.007076|0.012005,-1.000000|-1.000000,0.007076|0.011988,0.007075|0.011981,0.007075|0.011976,0.007075|0.011971,0.007075|0.011967,0.007075|0.011963,0.007075|0.011960,0.007075|0.011959,0.007075|0.011956,0.007075|0.011954,0.007075|0.011952,0.007075|0.011951,0.007075|0.011949,0.007075|0.011954,0.007075|0.011954,0.007075|0.011952,
0.007080|0.012054,0.007080|0.012053,0.007080|0.012052,0.007080|0.012050,0.007079|0.012045,0.007079|0.012043,0.007079|0.012041,0.007079|0.012038,0.007078|0.012036,0.007078|0.012034,0.007078|0.012031,0.007078|0.012028,0.007078|0.012025,0.007078|0.012023,0.007077|0.012019,0.007077|0.012015,0.007077|0.012011,-1.000000|-1.000000,0.007076|0.011989,0.007075|0.011982,0.007075|0.011977,0.007075|0.011972,0.007075|0.011969,0.007075|0.011965,0.007075|0.011963,0.007075|0.011960,0.007075|0.011958,0.007075|0.011956,0.007075|0.011955,0.007075|0.011953,0.007075|0.011959,0.007075|0.011958,0.007075|0.011957,0.007075|0.011957,
